ID;Community;Treat
TN1;Teulea_NO_Restored;Non-restored
TN2;Teulea_NO_Restored;Non-restored
TN3;Teulea_NO_Restored;Non-restored
TR1;Teulera_Restored;Restored
TR2;Teulera_Restored;Restored
TR3;Teulera_Restored;Restored
EX1;Teulera_Expansion;Expansion_area
EX2;Teulera_Expansion;Expansion_area
EX3;Teulera_Expansion;Expansion_area
FR1;Fornells_Cala_Rotja;Reference_1
FR2;Fornells_Cala_Rotja;Reference_1
FR3;Fornells_Cala_Rotja;Reference_1
FM1;Fornells_Miami;Reference_2
FM2;Fornells_Miami;Reference_2
FM3;Fornells_Miami;Reference_2
